#StartTime,EndTime,PercentOfDayVolume,BucketType
11:24:00,11:25:00,0.18256880356,Continuous
11:25:00,11:26:00,0.20167803827,Continuous
11:26:00,11:27:00,0.04096799959,Continuous
11:27:00,11:28:00,0.21652550120,Continuous
11:28:00,11:29:00,0.04096799959,Continuous
11:29:00,11:30:00,0.20635223956,Continuous
11:30:00,11:31:00,0.39235795583,Continuous
11:31:00,11:32:00,0.11273073714,Continuous
11:32:00,11:33:00,0.15149911259,Continuous
11:33:00,11:34:00,0.04399248278,Continuous
11:34:00,11:35:00,0.06708853625,Continuous
11:35:00,11:36:00,0.07657441535,Continuous
11:36:00,11:37:00,0.10530700567,Continuous
11:37:00,11:38:00,0.08839739510,Continuous
11:38:00,11:39:00,0.04385500628,Continuous
11:39:00,11:40:00,0.06131452288,Continuous
11:40:00,11:41:00,0.12111680417,Continuous
11:41:00,11:42:00,0.17115825333,Continuous
11:42:00,11:43:00,0.05499060348,Continuous
11:43:00,11:44:00,0.08716010652,Continuous
11:44:00,11:45:00,0.04399248278,Continuous
11:45:00,11:46:00,0.06942563689,Continuous
11:46:00,11:47:00,0.13582679060,Continuous
11:47:00,11:48:00,0.08468552936,Continuous
11:48:00,11:49:00,0.04949154313,Continuous
11:49:00,11:50:00,0.03698118084,Continuous
11:50:00,11:51:00,0.22518652125,Continuous
11:51:00,11:52:00,0.04687948947,Continuous
11:52:00,11:53:00,0.06117704637,Continuous
11:53:00,11:54:00,0.03876837545,Continuous
11:54:00,11:55:00,0.03808099291,Continuous
11:55:00,11:56:00,0.05540303301,Continuous
11:56:00,11:57:00,0.06103956986,Continuous
11:57:00,11:58:00,0.04399248278,Continuous
11:58:00,11:59:00,0.07025049595,Continuous
11:59:00,12:00:00,0.00000000000,Continuous
12:00:00,12:01:00,0.00000000000,Continuous
12:01:00,12:02:00,0.00000000000,Continuous
12:02:00,12:03:00,0.00000000000,Continuous
12:03:00,12:04:00,0.00000000000,Continuous
12:04:00,12:05:00,0.00000000000,Continuous
12:05:00,12:06:00,0.00000000000,Continuous
12:06:00,12:07:00,0.00000000000,Continuous
12:07:00,12:08:00,0.00000000000,Continuous
12:08:00,12:09:00,0.00000000000,Continuous
12:09:00,12:10:00,0.00000000000,Continuous
12:10:00,12:11:00,0.00000000000,Continuous
12:11:00,12:12:00,0.00000000000,Continuous
12:12:00,12:13:00,0.00000000000,Continuous
12:13:00,12:14:00,0.00000000000,Continuous
12:14:00,12:15:00,0.00000000000,Continuous
12:15:00,12:16:00,0.00000000000,Continuous
12:16:00,12:17:00,0.00000000000,Continuous
12:17:00,12:18:00,0.00000000000,Continuous
12:18:00,12:19:00,0.00000000000,Continuous
12:19:00,12:20:00,0.00000000000,Continuous
12:20:00,12:21:00,0.00000000000,Continuous
12:21:00,12:22:00,0.00000000000,Continuous
12:22:00,12:23:00,0.00000000000,Continuous
12:23:00,12:24:00,0.00000000000,Continuous
12:24:00,12:25:00,0.00000000000,Continuous
12:25:00,12:26:00,0.00000000000,Continuous
12:26:00,12:27:00,0.00000000000,Continuous
12:27:00,12:28:00,0.00000000000,Continuous
12:28:00,12:29:00,0.00000000000,Continuous
12:29:00,12:30:00,0.00000000000,Continuous
12:30:00,12:31:00,0.00000000000,Continuous
12:31:00,12:32:00,0.00000000000,Continuous
12:32:00,12:33:00,0.00000000000,Continuous
12:33:00,12:34:00,0.00000000000,Continuous
12:34:00,12:35:00,0.00000000000,Continuous
12:35:00,12:36:00,0.00000000000,Continuous
12:36:00,12:37:00,0.00000000000,Continuous
12:37:00,12:38:00,0.00000000000,Continuous
12:38:00,12:39:00,0.00000000000,Continuous
12:39:00,12:40:00,0.00000000000,Continuous
12:40:00,12:41:00,0.00000000000,Continuous
12:41:00,12:42:00,0.00000000000,Continuous
